# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-DSCT-00098	singlemode	04:45:55.40	-68:23:23.0	20.566	21.061	0.495	0.08604861	0.00000008	7000.00000	0.382	0.496	3.793	0.000	-99.99	-99.99	LMC141.5.12827	LMC539.18.21760	-99.99	
OGLE-LMC-DSCT-00099	singlemode	04:45:56.32	-68:21:53.4	19.903	20.395	0.492	0.08233520	0.00000008	7000.02281	0.288	0.384	3.626	0.000	-99.99	-99.99	LMC140.8.2373	-99.99	-99.99	
OGLE-LMC-DSCT-00100	singlemode	04:46:14.30	-68:50:43.0	20.280	20.715	0.435	0.07333944	0.00000004	7000.04271	0.382	0.438	3.850	0.000	-99.99	-99.99	LMC141.8.13046	LMC539.09.2952	-99.99	
OGLE-LMC-DSCT-00101	singlemode	04:46:18.39	-70:18:02.4	19.985	20.509	0.524	0.07211556	0.00000006	7000.04571	0.207	0.376	4.106	0.000	-99.99	-99.99	LMC144.3.2439	LMC530.23.9637	-99.99	
OGLE-LMC-DSCT-00102	singlemode	04:46:19.04	-68:14:06.6	19.899	20.437	0.538	0.10253997	0.00000010	7000.09179	0.174	0.229	4.218	0.000	-99.99	-99.99	LMC140.8.2693	LMC532.16.3556	-99.99	
OGLE-LMC-DSCT-00103	singlemode	04:46:19.36	-68:53:00.4	19.929	20.455	0.526	0.07172548	0.00000006	7000.04067	0.171	0.361	4.081	0.000	-99.99	-99.99	LMC141.8.10836	LMC539.09.2598	-99.99	
OGLE-LMC-DSCT-00104	singlemode	04:46:24.43	-69:24:27.2	19.239	19.379	0.140	0.18816528	0.00000031	7000.09522	0.123	0.000	-99.99	0.000	-99.99	-99.99	LMC142.8.12156	LMC531.15.22755	-99.99	 uncertain
OGLE-LMC-DSCT-00105	singlemode	04:46:33.35	-68:27:39.6	20.313	-99.99	-99.99	0.06858054	0.00000010	7000.03737	0.399	0.000	-99.99	0.000	-99.99	-99.99	LMC141.5.14691	LMC539.17.2876D	-99.99	
OGLE-LMC-DSCT-00106	singlemode	04:46:34.07	-68:06:40.0	20.166	20.672	0.506	0.07390749	0.00000004	7000.01929	0.356	0.445	3.857	0.000	-99.99	-99.99	LMC140.7.2628	LMC532.16.18416	-99.99	
OGLE-LMC-DSCT-00107	singlemode	04:46:41.42	-66:55:57.4	21.010	21.515	0.505	0.05011856	0.00000005	7000.00221	0.284	0.000	-99.99	0.000	-99.99	-99.99	LMC138.7.4796	LMC540.26.10857	-99.99	
OGLE-LMC-DSCT-00108	singlemode	04:46:45.70	-68:41:57.7	18.872	19.481	0.609	0.20224972	0.00000062	7000.17792	0.060	0.000	-99.99	0.000	-99.99	-99.99	LMC141.7.10831	LMC531.32.18701	-99.99	
OGLE-LMC-DSCT-00109	singlemode	04:46:48.28	-66:51:13.1	19.172	19.544	0.372	0.18885055	0.00000045	7000.04733	0.075	0.000	-99.99	0.000	-99.99	-99.99	LMC138.6.625	LMC540.26.7643	-99.99	
OGLE-LMC-DSCT-00110	singlemode	04:46:48.31	-69:26:33.5	19.538	20.087	0.549	0.18631934	0.00000022	7000.16539	0.174	0.467	4.527	0.000	-99.99	-99.99	LMC142.1.2854	LMC531.15.22483	-99.99	
OGLE-LMC-DSCT-00111	singlemode	04:46:49.56	-69:58:36.1	20.019	20.693	0.674	0.07930654	0.00000011	7000.01132	0.155	0.000	-99.99	0.000	-99.99	-99.99	LMC143.2.5881	LMC530.31.17456	-99.99	
OGLE-LMC-DSCT-00112	singlemode	04:46:55.56	-68:23:22.5	20.050	20.381	0.331	0.08115434	0.00000008	7000.07771	0.244	0.257	3.884	0.000	-99.99	-99.99	LMC141.5.11923	LMC539.17.17149	-99.99	
OGLE-LMC-DSCT-00113	singlemode	04:47:03.83	-67:26:10.7	19.421	19.922	0.501	0.12871871	0.00000008	7000.08472	0.261	0.271	3.802	0.155	1.618	-99.99	LMC139.6.1552	LMC540.18.1313	-99.99	
OGLE-LMC-DSCT-00114	singlemode	04:47:05.67	-68:18:03.6	20.138	20.568	0.430	0.09589760	0.00000007	7000.03302	0.285	0.481	4.181	0.286	2.386	-99.99	LMC140.8.12121	LMC532.16.2829	-99.99	
OGLE-LMC-DSCT-00115	singlemode	04:47:09.36	-69:36:11.6	19.543	-99.99	-99.99	0.06063443	0.00000012	7000.04370	0.300	0.378	3.748	0.000	-99.99	-99.99	LMC143.4.3221	LMC531.15.1563D	-99.99	
OGLE-LMC-DSCT-00116	singlemode	04:47:09.99	-67:38:14.3	20.587	21.008	0.421	0.07767610	0.00000006	7000.04741	0.365	0.523	4.098	0.000	-99.99	-99.99	LMC139.8.4745	LMC540.09.5735	-99.99	
OGLE-LMC-DSCT-00117	singlemode	04:47:10.20	-67:17:11.1	20.490	20.841	0.351	0.06097366	0.00000003	7000.00112	0.363	0.387	3.950	0.000	-99.99	-99.99	LMC139.5.3987	LMC540.18.9788	-99.99	
OGLE-LMC-DSCT-00118	singlemode	04:47:11.42	-67:12:02.7	20.403	20.801	0.398	0.08234429	0.00000012	7000.07744	0.156	0.000	-99.99	0.000	-99.99	-99.99	LMC139.5.4016	LMC540.18.11525	-99.99	
OGLE-LMC-DSCT-00119	singlemode	04:47:18.19	-68:21:23.7	20.187	20.672	0.485	0.08439847	0.00000005	7000.01931	0.316	0.489	3.841	0.000	-99.99	-99.99	LMC140.8.15235	LMC532.16.4684	-99.99	
OGLE-LMC-DSCT-00120	singlemode	04:47:21.39	-68:59:20.0	20.427	-99.99	-99.99	0.09352989	0.00000090	7000.01975	0.322	0.000	-99.99	0.000	-99.99	-99.99	LMC142.4.7746	LMC531.32.1557D	-99.99	
OGLE-LMC-DSCT-00121	singlemode	04:47:25.22	-70:15:44.3	20.303	20.805	0.502	0.09502223	0.00000007	7000.08554	0.263	0.405	4.314	0.263	1.921	-99.99	LMC144.4.13093	LMC530.23.13273	-99.99	
OGLE-LMC-DSCT-00122	singlemode	04:47:30.20	-68:20:53.5	20.795	21.252	0.457	0.07472083	0.00000006	7000.06913	0.329	0.409	3.859	0.297	0.904	-99.99	LMC140.8.15844	LMC532.16.5003	-99.99	
OGLE-LMC-DSCT-00123	singlemode	04:47:31.34	-69:38:13.1	16.863	17.351	0.488	0.05157795	0.00000002	7000.03662	0.064	0.186	3.897	0.000	-99.99	-99.99	LMC143.4.10846	LMC531.07.13596	-99.99	
OGLE-LMC-DSCT-00124	singlemode	04:47:40.02	-66:43:09.2	19.640	20.059	0.419	0.08250272	0.00000005	7000.03576	0.282	0.428	3.898	0.000	-99.99	-99.99	LMC138.5.1521	LMC541.02.1482	-99.99	
